audit_id,slice,sample_id,dataset_id,source,language,task_type,query,schema_fields,temporal_metadata,gold_intent,human_answerability_correct,human_intent_correct,human_corrected_intent,human_notes,annotator_id
ha_011,recent_window,paper09x_001299,wb_asean_domestic_credit_private_sector,World Bank Indicators API,en,temporal_recent_window,Show the most recent 10-year pattern of domestic credit private sector for Thailand.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | domestic_credit_private_sector:quantitative/measure,"{""distinct_years"": 65, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1960}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""domestic_credit_private_sector"", ""required_fields"": [""country"", ""domestic_credit_private_sector"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_012,recent_window,paper09x_001315,wb_asean_domestic_credit_private_sector,World Bank Indicators API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua domestic credit private sector o Thailand.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | domestic_credit_private_sector:quantitative/measure,"{""distinct_years"": 65, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1960}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""domestic_credit_private_sector"", ""required_fields"": [""country"", ""domestic_credit_private_sector"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_013,recent_window,paper09x_000867,wb_asean_electricity_access,World Bank Indicators API,en,temporal_recent_window,Show the most recent 10-year pattern of electricity access for Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | electricity_access:quantitative/measure,"{""distinct_years"": 34, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 1990}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""electricity_access"", ""required_fields"": [""country"", ""electricity_access"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_014,recent_window,paper09x_000883,wb_asean_electricity_access,World Bank Indicators API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua electricity access o Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | electricity_access:quantitative/measure,"{""distinct_years"": 34, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 1990}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""electricity_access"", ""required_fields"": [""country"", ""electricity_access"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_015,recent_window,paper09x_000111,wb_asean_fertility_rate,World Bank Indicators API,en,temporal_recent_window,Show the most recent 10-year pattern of fertility rate for Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | fertility_rate:quantitative/measure,"{""distinct_years"": 65, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1960}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""fertility_rate"", ""required_fields"": [""country"", ""fertility_rate"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_016,recent_window,paper09x_000127,wb_asean_fertility_rate,World Bank Indicators API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua fertility rate o Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | fertility_rate:quantitative/measure,"{""distinct_years"": 65, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1960}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""fertility_rate"", ""required_fields"": [""country"", ""fertility_rate"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_017,recent_window,paper09x_001218,wb_asean_fixed_broadband_subscriptions,World Bank Indicators API,en,temporal_recent_window,Show the most recent 10-year pattern of fixed broadband subscriptions for Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | fixed_broadband_subscriptions:quantitative/measure,"{""distinct_years"": 27, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1998}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""fixed_broadband_subscriptions"", ""required_fields"": [""country"", ""fixed_broadband_subscriptions"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_018,recent_window,paper09x_001234,wb_asean_fixed_broadband_subscriptions,World Bank Indicators API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua fixed broadband subscriptions o Indonesia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | fixed_broadband_subscriptions:quantitative/measure,"{""distinct_years"": 27, ""latest_year"": 2024, ""previous_10_end"": 2014, ""previous_10_start"": 2005, ""recent_10_end"": 2024, ""recent_10_start"": 2015, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2024, ""year_min"": 1998}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""fixed_broadband_subscriptions"", ""required_fields"": [""country"", ""fixed_broadband_subscriptions"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2015-2024"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_019,recent_window,paper09x_000948,wb_asean_forest_area_share,World Bank Indicators API,en,temporal_recent_window,Show the most recent 10-year pattern of forest area share for Thailand.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | forest_area_share:quantitative/measure,"{""distinct_years"": 34, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 1990}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""forest_area_share"", ""required_fields"": [""country"", ""forest_area_share"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_020,recent_window,paper09x_000964,wb_asean_forest_area_share,World Bank Indicators API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua forest area share o Thailand.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | forest_area_share:quantitative/measure,"{""distinct_years"": 34, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 1990}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""forest_area_share"", ""required_fields"": [""country"", ""forest_area_share"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_021,recent_window,paper09x_000975,wb_asean_freshwater_withdrawal_share,World Bank Indicators API,en,temporal_recent_window,Show the most recent 10-year pattern of freshwater withdrawal share for Vietnam.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | freshwater_withdrawal_share:quantitative/measure,"{""distinct_years"": 48, ""latest_year"": 2022, ""previous_10_end"": 2012, ""previous_10_start"": 2003, ""recent_10_end"": 2022, ""recent_10_start"": 2013, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2022, ""year_min"": 1975}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""freshwater_withdrawal_share"", ""required_fields"": [""country"", ""freshwater_withdrawal_share"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2013-2022"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_022,recent_window,paper09x_000991,wb_asean_freshwater_withdrawal_share,World Bank Indicators API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua freshwater withdrawal share o Vietnam.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | freshwater_withdrawal_share:quantitative/measure,"{""distinct_years"": 48, ""latest_year"": 2022, ""previous_10_end"": 2012, ""previous_10_start"": 2003, ""recent_10_end"": 2022, ""recent_10_start"": 2013, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2022, ""year_min"": 1975}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""freshwater_withdrawal_share"", ""required_fields"": [""country"", ""freshwater_withdrawal_share"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2013-2022"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_023,recent_window,paper09x_000516,wb_asean_health_expenditure_pc,World Bank Indicators API,en,temporal_recent_window,Show the most recent 10-year pattern of health expenditure pc for Philippines.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | health_expenditure_pc:quantitative/measure,"{""distinct_years"": 24, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 2000}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""health_expenditure_pc"", ""required_fields"": [""country"", ""health_expenditure_pc"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_024,recent_window,paper09x_000532,wb_asean_health_expenditure_pc,World Bank Indicators API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua health expenditure pc o Philippines.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | health_expenditure_pc:quantitative/measure,"{""distinct_years"": 24, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 2000}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""health_expenditure_pc"", ""required_fields"": [""country"", ""health_expenditure_pc"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_025,recent_window,paper09x_000543,wb_asean_health_expenditure_share_gdp,World Bank Indicators API,en,temporal_recent_window,Show the most recent 10-year pattern of health expenditure share gdp for Malaysia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | health_expenditure_share_gdp:quantitative/measure,"{""distinct_years"": 24, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 2000}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""health_expenditure_share_gdp"", ""required_fields"": [""country"", ""health_expenditure_share_gdp"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
ha_026,recent_window,paper09x_000559,wb_asean_health_expenditure_share_gdp,World Bank Indicators API,vi,temporal_recent_window,Cho toi bieu do 10 nam gan nhat cua health expenditure share gdp o Malaysia.,country_code:nominal/id | country:nominal/dimension | year:temporal/time | health_expenditure_share_gdp:quantitative/measure,"{""distinct_years"": 24, ""latest_year"": 2023, ""previous_10_end"": 2013, ""previous_10_start"": 2004, ""recent_10_end"": 2023, ""recent_10_start"": 2014, ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""year_max"": 2023, ""year_min"": 2000}","{""aggregation"": ""none"", ""answerability"": ""answerable"", ""chart_type"": ""line"", ""group_by"": ""country"", ""measure"": ""health_expenditure_share_gdp"", ""required_fields"": [""country"", ""health_expenditure_share_gdp"", ""year""], ""secondary_measure"": """", ""sort"": ""none"", ""statistic"": ""trend"", ""task_type"": ""temporal_recent_window"", ""temporal_filter"": ""last_10_years:2014-2023"", ""temporal_granularity"": ""year"", ""time_field"": ""year"", ""top_k"": null, ""unsupported_reason"": """"}",,,,,
